id,title,price,condition,category_id,listing_type,free_shipping
MLA2031286732,Samsung Galaxy S24 128 Gb 8 Gb Ram - Nuevo Y Sellado Marble Gray,1693999.0,new,MLA1055,gold_special,True
MLA2016577202,Samsung Galaxy S24 Plus 512 Gb / 12 Gb Ram / Color: Cobalt V,1300000.0,new,MLA1055,gold_special,True
MLA1968019768,Samsung Galaxy S24 Ultra 12g Ram 512gb - Nuevo Y Sellado,2287999.0,new,MLA1055,gold_special,True
MLA1440948549,Motorola Edge 50 Ultra Color Negro Interstellar,1599999.0,new,MLA1055,gold_pro,True
MLA1480797213,Edge 50 Pro 512gb 12gb Ram Motorola Color Luxe Lavender,969000.0,new,MLA1055,gold_pro,True
MLA1773221080,Moto Edge 40 Pro De 256gb Y 12gb Ram Color Celeste,1399999.0,new,MLA1055,gold_special,True
MLA1472573851,Smartphone Motorola Edge 50 Pro 5g Negro 256 Gb 12 Gb Ram,1299999.0,new,MLA1055,gold_special,True
MLA2030175758,Motorola Moto Edge 50 Jungle Green 256gb 12gb,1124899.0,new,MLA1055,gold_pro,True
MLA1482168575,Smartphone Celular Motorola Edge 50 Fusion 12gb Ram + 512gb De Almacenamiento Color Hot Pink,698731.0,new,MLA1055,gold_special,True
MLA1891792888,Motorola Moto Edge 40 Neo 256 Gb Negro 8 Gb Ram,955000.0,new,MLA1055,gold_pro,True
MLA1477958123,Motorola Edge 30 Ultra 256gb 12gb Ram Color Blanco Starlight,1899999.0,new,MLA1055,gold_special,True
MLA2029923616,Motorola Edge 30 Dual Sim 256 Gb Gris 8 Gb Ram,599999.0,new,MLA1055,gold_pro,True
MLA2032288712,Celular Moto Edge 50 Fusion Dual Sim 256gb 12gb Ram Hot Pink,749000.0,new,MLA1055,gold_special,True
MLA1411954502,Celular Motorola Edge 30 Fusion 256gb + 12gb Ram Android 12 Color Azul Lazuli,1099999.0,new,MLA1055,gold_special,True
MLA1477659241,Motorola Edge 40 Dual Sim 256 Gb Verde Oliva 8 Gb Ram,929999.0,new,MLA1055,gold_special,True
MLA2009053464,Celular Motorola Moto Edge 50 Fusión 512gb 8gb Ram Azul Ártico,699689.0,new,MLA1055,gold_special,True
